[19.06071686 15.06413847] ,  [0.3375148  0.51914787]
[0.1487164  0.00573912] ,  [0.02019013 0.01693428]
[-0.56549348 -0.01339449] ,  [0.06618564 0.05502203]
[19.06071686 18.73801963] ,  [0.3375148  0.23797945]
[0.1487164  0.17026648] ,  [0.02019013 0.02376243]
[-0.56549348 -0.48508664] ,  [0.06618564 0.06488211]
[18.9622456  15.39274335] ,  [0.38468747 0.39903548]
[ 0.15160988 -0.09284564] ,  [0.02214561 0.01477547]
[-0.57651244  0.25798883] ,  [0.06447814 0.04582515]
[19.06071686 18.45812313] ,  [0.3375148 0.3889404]
[0.1487164  0.15583494] ,  [0.02019013 0.01260767]
[-0.56549348 -0.43690828] ,  [0.06618564 0.05057327]
