[16.40562888 14.78928678] ,  [0.20852669 0.19153074]
[0.16713777 0.10528106] ,  [0.01130134 0.00282149]
[-0.59394977 -0.3634365 ] ,  [0.04075782 0.01035149]
[16.40562888 15.77965203] ,  [0.20852669 0.23564102]
[0.16713777 0.17935019] ,  [0.01130134 0.00929609]
[-0.59394977 -0.54236526] ,  [0.04075782 0.02771629]
[16.40562888 10.89680955] ,  [0.20852669 0.19430936]
[ 0.16713777 -0.05580008] ,  [0.01130134 0.00105346]
[-0.59394977  0.16346041] ,  [0.04075782 0.00411157]
[16.40562888 15.46252593] ,  [0.20852669 0.27243681]
[0.16713777 0.15746832] ,  [0.01130134 0.01077517]
[-0.59394977 -0.47130844] ,  [0.04075782 0.03215502]
